Id,Nombre,Apellidos,SalarioMensual,Deudas,RetencionFuente,Correo,Telefono,Cargo
398172,Manuela,Urrego,1045607,True,0.1,cccc@hotmail.com,4904016,desarrollador junior
196195,Juan,Gomez,1149778,True,0.1,bbbb@hotmail.com,5081994,desarrollador senior
32704,Isabel,Gomez,3806706,True,0.1,dddd@hotmail.com,4731232,arquitecto
179803,Juan,Gonzalez,4001111,True,0.1,cccc@hotmail.com,4730659,desarrollador junior
45979,Pablo,Montoya,4792656,True,0.1,bbbb@hotmail.com,4717915,desarrollador senior
373765,Raul,Perez,2027490,True,0.1,aaaa@hotmail.com,4836524,desarrollador senior
138884,Kelly,Gonzalez,3859218,True,0.1,bbbb@hotmail.com,4664154,desarrollador junior
248174,Mauricio,Montoya,4944852,True,0.1,aaaa@hotmail.com,4681424,desarrollador senior
162692,Andres,Peralta,2420333,True,0.1,bbbb@hotmail.com,4875493,desarrollador junior
241675,Kelly,Perez,1519027,True,0.1,aaaa@hotmail.com,4731320,desarrollador junior
486597,Kelly,Perez,3785434,True,0.1,bbbb@hotmail.com,4845666,desarrollador junior
318561,Raul,Montoya,1344455,True,0.1,bbbb@hotmail.com,4736787,arquitecto
185846,Andres,Gutierrez,2376356,True,0.1,cccc@hotmail.com,4924911,arquitecto
378525,Andres,Perez,1089841,True,0.1,bbbb@hotmail.com,4957502,arquitecto
14708,Isabel,Gutierrez,3433116,True,0.1,cccc@hotmail.com,4967616,desarrollador junior
123300,Mauricio,Montoya,3960752,True,0.1,cccc@hotmail.com,5011829,arquitecto
96276,Andres,Gutierrez,4025681,True,0.1,aaaa@hotmail.com,4979136,desarrollador senior
494391,Mauricio,Gomez,2736801,True,0.1,dddd@hotmail.com,4748662,desarrollador senior
54581,Isabel,Perez,2339436,True,0.1,cccc@hotmail.com,4688884,desarrollador senior
437494,Mauricio,Gomez,3321737,True,0.1,aaaa@hotmail.com,4903763,desarrollador senior
377470,Ana,Montoya,3849460,True,0.1,bbbb@hotmail.com,4837987,desarrollador senior
369612,Pablo,Montoya,4080068,True,0.1,cccc@hotmail.com,4617097,desarrollador junior
141649,Isabel,Montoya,1806960,True,0.1,dddd@hotmail.com,4923222,arquitecto
447734,Andres,Peralta,4416970,True,0.1,aaaa@hotmail.com,4622190,desarrollador senior
298823,Raul,Gomez,2497210,True,0.1,cccc@hotmail.com,4830260,desarrollador junior
366241,Juan,Montoya,4296681,True,0.1,aaaa@hotmail.com,4876607,arquitecto
219875,Mauricio,Gutierrez,4596932,True,0.1,dddd@hotmail.com,4804379,desarrollador junior
155634,Kelly,Urrego,3032838,True,0.1,cccc@hotmail.com,4771766,desarrollador junior
14982,Pablo,Montoya,3868567,True,0.1,aaaa@hotmail.com,4769255,desarrollador senior
216355,Veronica,Montoya,4853651,True,0.1,aaaa@hotmail.com,4854903,desarrollador junior
295767,Mauricio,Gomez,3992892,True,0.1,bbbb@hotmail.com,5014285,arquitecto
294154,Juan,Urrego,1925387,True,0.1,cccc@hotmail.com,4765151,desarrollador junior
28259,Kelly,Peralta,4959098,True,0.1,cccc@hotmail.com,4856790,arquitecto
302317,Isabel,Gonzalez,3506062,True,0.1,cccc@hotmail.com,4915567,desarrollador junior
465629,Manuela,Perez,3440504,True,0.1,cccc@hotmail.com,4822000,desarrollador senior
477115,Juan,Gonzalez,3805969,True,0.1,aaaa@hotmail.com,4810097,arquitecto
361059,Raul,Gomez,3622195,True,0.1,dddd@hotmail.com,5006926,arquitecto
470579,Andres,Montoya,3779069,True,0.1,bbbb@hotmail.com,4772638,arquitecto
434178,Veronica,Urrego,2543358,True,0.1,aaaa@hotmail.com,5047641,arquitecto
339876,Isabel,Peralta,4825881,True,0.1,aaaa@hotmail.com,4854455,desarrollador junior
274408,Kelly,Perez,3211430,True,0.1,aaaa@hotmail.com,4858852,arquitecto
403979,Isabel,Urrego,3019682,True,0.1,bbbb@hotmail.com,4937805,desarrollador junior
440536,Isabel,Peralta,2798996,True,0.1,aaaa@hotmail.com,4778332,desarrollador senior
338480,Pablo,Gutierrez,4251904,True,0.1,bbbb@hotmail.com,4763342,desarrollador senior
92887,Juan,Montoya,1469334,True,0.1,dddd@hotmail.com,4658272,desarrollador senior
272154,Raul,Peralta,4678345,True,0.1,cccc@hotmail.com,4893537,desarrollador junior
136437,Kelly,Gonzalez,2867385,True,0.1,cccc@hotmail.com,4834420,desarrollador junior
407003,Manuela,Gutierrez,4085820,True,0.1,dddd@hotmail.com,4867073,arquitecto
182621,Manuela,Gomez,1874494,True,0.1,aaaa@hotmail.com,4871927,desarrollador junior
478803,Ana,Gonzalez,1455112,True,0.1,dddd@hotmail.com,4725121,arquitecto
152181,Veronica,Gutierrez,1698497,True,0.1,dddd@hotmail.com,4950284,desarrollador senior
320975,Andres,Peralta,2846453,True,0.1,dddd@hotmail.com,4652909,desarrollador senior
